objid,specobjid,class,run,rerun,camcol,field,ra,dec,redshift,dered_u,deVRad_u,psffwhm_u,extinction_u,dered_g,deVRad_g,psffwhm_g,extinction_g,dered_r,deVRad_r,psffwhm_r,extinction_r,dered_i,deVRad_i,psffwhm_i,extinction_i,dered_z,deVRad_z,psffwhm_z,extinction_z,u_g,g_r,r_i,i_z
1237669763863544667,1.2740936924124172e+19,GALAXY,5655,301,6,84,318.988398570825,6.22600738124356,0.3703526,21.49685,0.3126543,1.193766,0.4099057,21.42598,0.1894488,1.207205,0.3193958,20.87504,0.2047686,1.213746,0.2209565,20.63152,0.308876,1.253788,0.1641944,20.35822,0.3890549,1.249961,0.1221304,0.1613731,0.6493816,0.3002834,0.3153667
1237669763863610320,1.2740951217775333e+19,GALAXY,5655,301,6,85,319.153986936762,6.10991667069548,0.6446899,22.10982,0.9809033,1.089321,0.3489313,21.65552,0.2844,1.178476,0.2718849,21.20388,0.1894578,1.115936,0.1880887,20.6451,0.1521736,1.216366,0.1397701,20.35831,1.027975,1.195438,0.1039633,0.5313416,0.5354424,0.6070995,0.3225899
1237673809194254925,1.250674342250023e+19,GALAXY,6597,301,5,212,126.491257229126,21.6263622682372,1.044995,21.80831,0.2424624,1.145031,0.2078346,22.13851,0.2581086,1.030567,0.1619433,21.8229,0.3176046,1.278177,0.1120316,21.6686,0.3075904,1.096358,0.08325149,23.10633,0.03169631,0.9422442,0.06192382,-0.2843132,0.3655205,0.1830864,-1.416405
1237667255610966350,1.0841414584251994e+19,GALAXY,5071,301,6,211,145.336147628195,25.1182428510724,1.102654,21.81164,0.9921421,1.326725,0.09376915,22.14196,0.7653931,1.189352,0.07306429,21.70416,0.4864674,1.194622,0.05054554,20.96111,0.1221479,1.057178,0.03756075,20.64588,0.01553235,1.117406,0.0279383,-0.3096142,0.4603214,0.7560253,0.3248577
1237667288887001129,1.2816130051939783e+19,GALAXY,5079,301,4,59,158.870340627708,29.8750000604129,0.6567146,24.24577,0.009518995,1.691943,0.08783984,23.71725,0.003906423,1.291952,0.06844421,21.46601,0.7083232,1.340435,0.04734939,20.27904,0.6720848,1.281756,0.03518567,19.58724,1.058794,1.219262,0.02617167,0.547924,2.272326,1.199139,0.7008152
1237667288887001455,1.2816132525840945e+19,GALAXY,5079,301,4,59,158.861780167215,29.7737929229112,0.9289263,22.44471,1.571343,1.691943,0.08783877,21.7285,0.3083652,1.328333,0.06844337,21.38768,0.1228167,1.396072,0.04734881,20.9516,0.4800242,1.230399,0.03518524,20.43566,0.4226424,1.253298,0.02617135,0.7356091,0.3619118,0.4482498,0.5249481
1237678597014356542,1.2705792684310417e+19,GALAXY,7712,301,3,293,354.604190385805,2.38268670587959,0.688605,22.07055,0.2595794,1.281701,0.2399897,21.7476,0.1311203,1.249957,0.1869984,21.51915,0.08471052,1.148013,0.1293646,21.19814,0.1571497,1.030879,0.09613177,20.99101,1.559652,1.050437,0.07150438,0.3759422,0.2860832,0.3542442,0.2317562
1237678597550834414,1.2705840787944133e+19,GALAXY,7712,301,4,287,353.696316685628,2.6823614721955,0.7889053,23.74325,0.0002868039,1.362814,0.2356372,24.40229,0.2202403,1.199385,0.1836069,21.72896,0.4884429,1.074151,0.1270184,20.71789,0.2956893,1.065943,0.09438829,19.8133,0.1647856,1.126471,0.07020755,-0.6070099,2.729918,1.043703,0.9287643
1237678598087573670,1.2705856730862735e+19,GALAXY,7712,301,5,285,353.427512689715,3.19907486119894,0.6078155,23.45947,0.03450116,1.317245,0.250516,23.65085,4.832755e-05,1.305166,0.1952004,21.70345,0.9401151,1.130729,0.1350387,20.67326,0.6554628,1.000937,0.1003482,19.92861,0.7082785,1.165614,0.07464065,-0.1360645,2.007559,1.06489,0.7703533
1237678598087705164,1.2705845735746458e+19,GALAXY,7712,301,5,287,353.588669130855,3.23385836005617,0.6089087,25.18357,0.0001794255,1.336767,0.2865369,22.92551,0.007525336,1.228498,0.2232676,21.44506,0.8846881,1.079207,0.1544555,20.30699,0.5208266,1.097245,0.114777,19.64952,0.7296351,1.163004,0.08537298,2.321327,1.549273,1.177742,0.6868782
1237678598083642106,1.2730558359562113e+19,GALAXY,7712,301,5,225,344.293020644875,3.11312119328049,0.6630402,24.98501,0.005174519,1.244554,0.2982466,23.52238,0.4562105,1.202507,0.2323917,21.13814,0.4915954,1.103963,0.1607675,20.05966,0.6040142,1.036674,0.1194675,19.42446,0.5460318,1.130397,0.08886188,1.528486,2.455862,1.11978,0.6658077
1237678598087311653,1.2705951013984817e+19,GALAXY,7712,301,5,281,352.684821932374,3.24971341962165,0.5833579,21.44782,0.6109234,1.321115,0.2667449,21.48786,0.0004149855,1.295306,0.2078459,21.27862,0.2983891,1.0845,0.1437868,21.25768,0.1869729,1.035036,0.106849,21.10358,0.1353078,1.122956,0.07947603,0.01885796,0.2733002,0.0578804,0.1814728
1237678598088032869,1.270581220064181e+19,GALAXY,7712,301,5,292,354.469127074754,3.23883467059744,0.5692792,25.28916,0.000964931,1.24934,0.3730162,22.71826,0.2940384,1.255525,0.2906517,21.04518,0.4835561,1.125168,0.2010715,20.00443,0.3989903,1.05351,0.1494177,19.35666,0.5073718,1.138871,0.1111393,2.653267,1.762657,1.092402,0.6860485
1237678619026130011,1.2705794608455766e+19,GALAXY,7717,301,4,294,354.630957952688,2.61553549988721,0.7330396,25.73968,0.1220729,1.039905,0.2658588,24.29485,0.003007935,1.036868,0.2071553,21.63071,1.141823,0.8141387,0.1433091,20.5076,0.501651,0.7986951,0.106494,19.76927,0.3111942,0.9334582,0.079212,1.503538,2.727983,1.159924,0.7656136
1237678619558412576,1.2730556160538857e+19,GALAXY,7717,301,5,224,344.208864097624,2.83983681211135,0.3542143,21.93853,0.4806718,1.119871,0.3628663,21.67138,0.219144,1.094536,0.282743,21.26881,0.0126936,0.8931598,0.1956003,21.69678,0.1221095,0.8781714,0.145352,21.13872,0.5588688,0.9637891,0.1081152,0.3472691,0.4897137,-0.3777256,0.5953064
1237678619558609927,1.2730551212736532e+19,GALAXY,7717,301,5,227,344.602454289633,2.8852896687655,0.5588536,25.22745,0.02946619,1.047028,0.3004697,23.46293,0.27976,1.0616,0.2341239,21.58265,0.2945405,0.9409546,0.1619658,20.52659,0.5980986,0.8523352,0.120358,19.8968,0.5497993,1.00434,0.08952423,1.830872,1.952438,1.097666,0.6606255
1237678619562410338,1.2705855631351108e+19,GALAXY,7717,301,5,285,353.292871234968,2.8964893704912,0.2758028,21.9983,0.0001872918,1.105089,0.29844,21.98356,0.09800872,1.009062,0.2325424,21.63939,0.122117,0.8231167,0.1608718,21.82167,0.1509988,0.8149288,0.119545,21.95306,0.2401774,0.9228417,0.0889195,0.08063126,0.4158478,-0.140955,-0.1007633
1237678620099018835,1.270596145934528e+19,GALAXY,7717,301,6,281,352.787428222119,3.32053766348317,0.3362286,22.7448,0.5687895,1.121337,0.2835431,21.80583,0.2204081,1.17617,0.2209349,21.34851,0.1287179,0.8962317,0.1528417,21.89996,0.09797761,0.8540405,0.1135778,21.46684,0.3664022,1.092312,0.08448101,1.001581,0.5254097,-0.5121822,0.4622154
1237678620099018932,1.270595073910691e+19,GALAXY,7717,301,6,281,352.770578291507,3.45367924890085,0.7476303,24.45494,3.546985e-05,1.194002,0.3426563,23.62896,0.003168425,1.167944,0.2669955,21.70061,0.4563904,0.9371347,0.1847062,20.36288,0.3259202,0.9603683,0.1372565,19.69331,0.3695191,1.190232,0.1020936,0.9016418,2.010639,1.385183,0.7047329
1237678660884628218,1.270602990394411e+19,GALAXY,7727,301,2,28,354.269314160282,4.28079714681069,0.6132712,26.3594,0.03898373,1.364389,0.314234,23.45241,0.7628198,1.11975,0.244849,21.39594,0.6345005,0.978767,0.1693854,20.1643,0.3242726,0.913152,0.1258715,19.5048,0.402149,0.8983285,0.09362527,2.976374,2.131935,1.275154,0.6917381
1237667289423872167,1.2816136099253735e+19,GALAXY,5079,301,5,59,158.762867249475,30.3384861245759,0.5310917,24.76565,0.0002478381,1.76876,0.07414745,23.85623,0.4814155,1.382473,0.05777519,21.44874,0.197015,1.384444,0.03996861,20.44328,0.32116,1.349913,0.02970096,19.80941,0.2952762,1.227405,0.02209206,0.9257984,2.425293,1.015728,0.6414795
1237667291585249745,1.0830153106802889e+19,GALAXY,5080,301,1,271,154.570009273942,23.040613892722,1.191747,22.63428,1.224683,1.353854,0.1175985,22.27036,0.2596921,1.296528,0.09163192,21.74839,0.8293213,1.169331,0.06339054,21.3044,0.2941306,1.000617,0.04710596,20.552,0.366414,1.248586,0.03503818,0.3898849,0.5502052,0.4602814,0.7644672
1237667291585249826,1.0830152557047075e+19,GALAXY,5080,301,1,271,154.628247659065,23.010163985919,0.8250566,22.15745,0.0004928458,1.364175,0.12187,21.74682,1.066489,1.258513,0.09496028,21.24554,1.149701,1.186693,0.06569308,20.73755,0.2207085,0.9933487,0.048817,20.19311,0.456327,1.277966,0.03631088,0.4375343,0.5305557,0.5248661,0.5569439
1237667431173522143,1.0830203134581953e+19,GALAXY,5112,301,5,299,154.653260594491,25.0228505280305,0.9092415,23.10538,0.3677443,1.100663,0.1157528,22.32465,0.456061,1.039847,0.09019376,21.72623,0.3039831,1.098292,0.06239563,20.91218,0.261644,0.9822451,0.04636664,20.36814,0.7432548,1.004637,0.03448826,0.8062916,0.6262169,0.8300819,0.5559177
